Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,139.389999,141.139999,138.669998,140.729996,139.870712,62989000
2019-10-28,144.399994,145.669998,142.649994,143.720001,142.842468,132099700
2019-11-04,144.830002,145.990005,143.199997,145.960007,145.068787,86257400
2019-11-11,145.339996,149.990005,144.729996,149.970001,149.054306,93138900
2019-11-18,150.070007,151.330002,148.460007,149.589996,148.676620,105644400
2019-11-25,150.000000,152.500000,149.919998,151.380005,150.967651,74202700
2019-12-02,151.809998,151.869995,146.649994,151.750000,151.336639,103331700
2019-12-09,151.070007,154.889999,150.330002,154.529999,154.109070,100477600
2019-12-16,155.110001,158.490005,153.750000,157.410004,156.981232,152135400
2019-12-23,158.119995,159.550003,157.119995,158.960007,158.527008,59640800
2019-12-30,158.990005,160.729996,156.449997,158.619995,158.187927,78456100
2020-01-06,157.080002,163.220001,156.509995,161.339996,160.900513,112305200
2020-01-13,161.759995,167.470001,161.259995,167.100006,166.644836,124758900
2020-01-20,166.679993,168.190002,164.449997,165.039993,164.590439,98254900
2020-01-27,161.149994,174.050003,160.199997,170.229996,169.766296,179472700
2020-02-03,170.429993,185.630005,170.399994,183.889999,183.389099,167049200
2020-02-10,183.580002,190.699997,181.850006,185.350006,184.845123,194512400
2020-02-17,185.610001,188.179993,177.250000,178.589996,178.103531,143224700
2020-02-24,167.770004,174.839996,152.000000,162.009995,162.009995,382839000
2020-03-02,165.309998,175.000000,156.000000,161.570007,161.570007,313160600
2020-03-09,151.000000,161.910004,138.580002,158.830002,158.830002,378099100
2020-03-16,140.000000,150.149994,135.000000,137.350006,137.350006,421347800
2020-03-23,137.009995,149.600006,132.520004,148.339996,148.339996,161353000
