Date,Open,High,Low,Close,Adj Close,Volume
2015-05-19,11.618200,11.627300,11.363600,11.427300,11.427300,20460
2015-05-20,11.427300,11.472700,11.281800,11.372700,11.372700,281160
2015-05-21,11.454500,11.454500,11.154500,11.209100,11.209100,39710
2015-05-22,11.218200,11.345500,10.954500,11.200000,11.200000,37290
2015-05-25,11.372700,11.372700,10.981800,10.981800,10.981800,16390
2015-05-26,11.109100,11.236400,10.381800,10.727300,10.727300,164560
2015-05-27,10.718200,10.854500,10.581800,10.727300,10.727300,31790
2015-05-28,10.745500,10.909100,10.654500,10.790900,10.790900,71280
2015-05-29,10.900000,11.000000,10.781800,10.909100,10.909100,355630
2015-06-01,10.954500,10.954500,10.627300,10.654500,10.654500,54780
2015-06-02,10.454500,10.763600,10.309100,10.663600,10.663600,496870
2015-06-03,10.672700,10.781800,10.600000,10.690900,10.690900,31790
2015-06-05,10.718200,10.772700,10.627300,10.681800,10.681800,36410
2015-06-08,10.690900,10.690900,10.472700,10.609100,10.609100,1039830
2015-06-09,10.627300,10.681800,10.481800,10.572700,10.572700,449900
2015-06-10,10.618200,10.681800,10.536400,10.545500,10.545500,47630
2015-06-11,10.536400,10.681800,10.518200,10.518200,10.518200,21450
2015-06-12,10.600000,10.600000,10.272700,10.272700,10.272700,25190
2015-06-15,10.154500,10.290900,10.154500,10.218200,10.218200,53570
2015-06-16,10.263600,10.345500,10.172700,10.200000,10.200000,212960
2015-06-17,10.136400,10.245500,9.918180,10.181800,10.181800,226380
2015-06-18,10.209100,10.263600,9.827270,9.827270,9.827270,226710
2015-06-19,9.854540,10.236400,9.718180,10.136400,10.136400,160380
2015-06-22,10.254500,10.527300,10.163600,10.354500,10.354500,140800
2015-06-23,10.409100,10.418200,10.272700,10.363600,10.363600,107250
2015-06-24,10.354500,10.354500,10.227300,10.272700,10.272700,55440
2015-06-25,10.154500,10.218200,9.981820,9.981820,9.981820,40150
2015-06-26,10.136400,10.136400,10.000000,10.000000,10.000000,35310
2015-06-29,9.845450,9.909090,9.754550,9.800000,9.800000,109340
2015-06-30,9.636360,9.954550,9.636360,9.872730,9.872730,223410
