Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,17.340000,17.940001,17.330000,17.900000,17.647087,2610900
2019-11-05,18.000000,18.000000,17.760000,18.000000,17.745674,862100
2019-11-06,18.000000,18.059999,17.639999,17.850000,17.597795,1352600
2019-11-07,17.850000,17.850000,17.129999,17.700001,17.449915,2452400
2019-11-08,17.650000,17.840000,17.240000,17.500000,17.252739,463500
2019-11-11,17.320000,17.549999,17.180000,17.490000,17.242880,2507900
2019-11-12,17.480000,17.559999,16.629999,16.799999,16.562630,2855600
2019-11-13,16.299999,16.500000,14.820000,15.000000,14.788063,9002100
2019-11-14,15.060000,15.420000,14.170000,15.000000,14.788063,6889800
2019-11-18,15.100000,15.880000,15.020000,15.620000,15.399302,4129300
2019-11-19,15.800000,15.940000,15.260000,15.400000,15.182410,1475000
2019-11-21,15.410000,15.600000,15.120000,15.460000,15.241563,946900
2019-11-22,15.270000,15.900000,15.240000,15.840000,15.616194,1005200
2019-11-25,15.850000,16.040001,15.610000,15.910000,15.685205,316000
2019-11-26,15.690000,16.360001,15.680000,16.360001,16.128847,3631800
2019-11-27,16.500000,16.530001,16.049999,16.270000,16.040119,575100
2019-11-28,16.270000,16.670000,16.209999,16.670000,16.434467,238200
2019-11-29,16.600000,16.799999,16.280001,16.760000,16.523195,377300
2019-12-02,16.770000,17.180000,16.590000,17.150000,16.907684,881700
2019-12-03,17.139999,17.620001,16.930000,17.500000,17.252739,976200
2019-12-04,17.750000,17.920000,17.420000,17.820000,17.568218,976000
2019-12-05,18.150000,18.190001,18.000000,18.000000,17.745674,1168600
2019-12-06,18.200001,18.240000,17.860001,17.920000,17.666805,1067700
2019-12-09,18.080000,18.120001,17.940001,18.000000,17.745674,474400
2019-12-10,18.100000,18.780001,17.940001,18.500000,18.238611,1162400
2019-12-11,18.790001,19.750000,18.730000,19.350000,19.076601,2363200
2019-12-12,19.549999,19.730000,19.010000,19.150000,18.879427,1801300
2019-12-13,19.370001,19.370001,18.020000,18.500000,18.238611,3257200
2019-12-16,18.740000,18.860001,18.400000,18.629999,18.366774,1329000
2019-12-17,18.650000,18.700001,18.280001,18.500000,18.238611,664900
2019-12-18,18.500000,18.780001,17.930000,18.320000,18.061153,2120800
2019-12-19,18.100000,18.360001,18.080000,18.150000,17.893555,961700
2019-12-20,18.150000,18.280001,17.500000,18.020000,17.765392,984600
2019-12-23,18.049999,18.379999,17.809999,18.129999,17.873837,766700
2019-12-26,18.360001,18.360001,18.120001,18.280001,18.021719,1111500
2019-12-27,18.389999,18.389999,17.980000,18.299999,18.041435,1050700
2019-12-30,18.500000,18.520000,17.940001,17.940001,17.686523,1191300
2020-01-02,17.990000,18.219999,17.709999,18.100000,18.100000,1102600
2020-01-03,17.700001,18.190001,17.680000,18.000000,18.000000,1551100
2020-01-06,18.000000,18.090000,17.799999,17.809999,17.809999,970100
2020-01-07,17.969999,17.980000,17.110001,17.180000,17.180000,2404100
2020-01-08,17.290001,17.400000,16.209999,16.270000,16.270000,3770700
2020-01-09,16.469999,16.680000,15.610000,15.710000,15.710000,3315800
2020-01-10,15.900000,16.459999,15.770000,16.180000,16.180000,2521000
2020-01-13,16.490000,16.850000,16.440001,16.799999,16.799999,2402600
2020-01-14,16.750000,17.180000,16.629999,17.150000,17.150000,2831800
2020-01-15,17.150000,17.200001,16.750000,17.200001,17.200001,1838000
2020-01-16,17.200001,17.830000,16.980000,17.570000,17.570000,3608000
2020-01-17,17.700001,17.799999,17.379999,17.799999,17.799999,2719000
2020-01-20,17.719999,17.940001,17.610001,17.629999,17.629999,998100
2020-01-21,17.590000,17.600000,16.930000,16.950001,16.950001,1204000
2020-01-22,16.990000,17.330000,16.620001,17.090000,17.090000,1971100
2020-01-23,17.080000,17.139999,16.799999,16.950001,16.950001,1153400
2020-01-24,16.990000,17.240000,16.799999,17.170000,17.170000,887500
2020-01-27,16.889999,16.889999,16.240000,16.490000,16.490000,1086000
2020-01-28,16.420000,17.090000,16.420000,16.799999,16.799999,696700
2020-01-29,16.809999,17.070000,16.540001,16.600000,16.600000,686700
2020-01-30,16.500000,16.500000,16.020000,16.440001,16.440001,1070000
2020-01-31,16.299999,16.600000,16.000000,16.000000,16.000000,897400
2020-02-03,16.070000,16.379999,15.920000,16.000000,16.000000,1344600
2020-02-04,16.280001,16.400000,16.020000,16.280001,16.280001,708300
2020-02-05,16.290001,16.600000,16.030001,16.219999,16.219999,931900
2020-02-06,16.240000,16.350000,15.830000,15.850000,15.850000,906400
2020-02-07,15.860000,15.880000,15.530000,15.550000,15.550000,493100
2020-02-10,15.510000,15.510000,14.850000,14.850000,14.850000,1396500
2020-02-11,15.000000,15.600000,14.940000,15.590000,15.590000,1385400
